Country,Country_Code,Year,Value
South Africa,ZAF,1960,
South Africa,ZAF,1961,
South Africa,ZAF,1962,
South Africa,ZAF,1963,
South Africa,ZAF,1964,
South Africa,ZAF,1965,
South Africa,ZAF,1966,
South Africa,ZAF,1967,
South Africa,ZAF,1968,
South Africa,ZAF,1969,
South Africa,ZAF,1970,3.98837995529175
South Africa,ZAF,1971,
South Africa,ZAF,1972,
South Africa,ZAF,1973,4.39184999465942
South Africa,ZAF,1974,
South Africa,ZAF,1975,
South Africa,ZAF,1976,
South Africa,ZAF,1977,
South Africa,ZAF,1978,
South Africa,ZAF,1979,
South Africa,ZAF,1980,
South Africa,ZAF,1981,
South Africa,ZAF,1982,
South Africa,ZAF,1983,
South Africa,ZAF,1984,
South Africa,ZAF,1985,
South Africa,ZAF,1986,
South Africa,ZAF,1987,
South Africa,ZAF,1988,10.5210103988647
South Africa,ZAF,1989,11.3259296417236
South Africa,ZAF,1990,11.43630027771
South Africa,ZAF,1991,11.8450698852539
South Africa,ZAF,1992,12.3273200988769
South Africa,ZAF,1993,13.6232995986938
South Africa,ZAF,1994,15.7045001983643
South Africa,ZAF,1995,
South Africa,ZAF,1996,
South Africa,ZAF,1997,
South Africa,ZAF,1998,
South Africa,ZAF,1999,
South Africa,ZAF,2000,
South Africa,ZAF,2001,
South Africa,ZAF,2002,
South Africa,ZAF,2003,
South Africa,ZAF,2004,
South Africa,ZAF,2005,
South Africa,ZAF,2006,
South Africa,ZAF,2007,
South Africa,ZAF,2008,
South Africa,ZAF,2009,
South Africa,ZAF,2010,
South Africa,ZAF,2011,
South Africa,ZAF,2012,17.9447234835981
South Africa,ZAF,2013,18.6088225305342
South Africa,ZAF,2014,18.4813356370067
South Africa,ZAF,2015,19.0332949537661
South Africa,ZAF,2016,18.9292980324153
South Africa,ZAF,2017,21.0902909603212
South Africa,ZAF,2018,22.3515425184231
South Africa,ZAF,2019,22.2442465104023
South Africa,ZAF,2020,22.6148742572009
South Africa,ZAF,2021,22.3431289991291
South Africa,ZAF,2022,23.7271036201865
South Africa,ZAF,2023,23.493768799339
South Africa,ZAF,2024,
South Africa,ZAF,2025,
