Country,Country_Code,Year,Value
South Africa,ZAF,1960,
South Africa,ZAF,1961,
South Africa,ZAF,1962,
South Africa,ZAF,1963,
South Africa,ZAF,1964,
South Africa,ZAF,1965,
South Africa,ZAF,1966,
South Africa,ZAF,1967,
South Africa,ZAF,1968,
South Africa,ZAF,1969,
South Africa,ZAF,1970,
South Africa,ZAF,1971,
South Africa,ZAF,1972,
South Africa,ZAF,1973,
South Africa,ZAF,1974,
South Africa,ZAF,1975,
South Africa,ZAF,1976,
South Africa,ZAF,1977,
South Africa,ZAF,1978,
South Africa,ZAF,1979,
South Africa,ZAF,1980,
South Africa,ZAF,1981,
South Africa,ZAF,1982,
South Africa,ZAF,1983,
South Africa,ZAF,1984,
South Africa,ZAF,1985,
South Africa,ZAF,1986,
South Africa,ZAF,1987,
South Africa,ZAF,1988,
South Africa,ZAF,1989,
South Africa,ZAF,1990,
South Africa,ZAF,1991,23.137
South Africa,ZAF,1992,23.463
South Africa,ZAF,1993,23.361
South Africa,ZAF,1994,23.067
South Africa,ZAF,1995,22.705
South Africa,ZAF,1996,22.5
South Africa,ZAF,1997,22.549
South Africa,ZAF,1998,22.739
South Africa,ZAF,1999,22.884
South Africa,ZAF,2000,22.788
South Africa,ZAF,2001,22.652
South Africa,ZAF,2002,22.579
South Africa,ZAF,2003,22.679
South Africa,ZAF,2004,22.567
South Africa,ZAF,2005,22.472
South Africa,ZAF,2006,22.304
South Africa,ZAF,2007,22.26
South Africa,ZAF,2008,22.407
South Africa,ZAF,2009,23.523
South Africa,ZAF,2010,24.683
South Africa,ZAF,2011,24.639
South Africa,ZAF,2012,24.727
South Africa,ZAF,2013,24.561
South Africa,ZAF,2014,24.89
South Africa,ZAF,2015,25.149
South Africa,ZAF,2016,26.536
South Africa,ZAF,2017,27.035
South Africa,ZAF,2018,26.906
South Africa,ZAF,2019,28.468
South Africa,ZAF,2020,29.217
South Africa,ZAF,2021,34.007
South Africa,ZAF,2022,33.268
South Africa,ZAF,2023,32.098
South Africa,ZAF,2024,32.279
South Africa,ZAF,2025,32.391
